term	category	first_tier	first_source
examinations	PROCEDURE	1a	1a:primock57
hospital admissions	PROCEDURE	1a	1a:primock57
nhs	PROCEDURE	1a	1a:primock57
abdominal examination	PROCEDURE	1a	1a:primock57
implant	PROCEDURE	1a	1a:primock57
home remedy	PROCEDURE	1a	1a:primock57
blood sugar	PROCEDURE	1a	1a:primock57
checkups	PROCEDURE	1a	1a:primock57
dog	PROCEDURE	1a	1a:primock57
intensive care	PROCEDURE	1a	1a:primock57
health technology	PROCEDURE	1a	1a:primock57
blood count	PROCEDURE	1a	1a:primock57
referral to specialist	PROCEDURE	1a	1a:primock57
change position	PROCEDURE	1a	1a:primock57
reminded	PROCEDURE	1a	1a:primock57
elbows wrists	PROCEDURE	1a	1a:primock57
lasik surgery	PROCEDURE	1a	1a:primock57
diagnose	PROCEDURE	1a	1a:primock57
release	PROCEDURE	1a	1a:primock57
imagery	PROCEDURE	1a	1a:primock57
stretch	PROCEDURE	1a	1a:primock57
surgeries	PROCEDURE	1b	1b:figshare-osce
trauma	PROCEDURE	1b	1b:figshare-osce
immunization	PROCEDURE	1b	1b:figshare-osce
immobilize	PROCEDURE	1b	1b:figshare-osce
rehospitalizations	PROCEDURE	1b	1b:figshare-osce
medical diagnosis	PROCEDURE	1b	1b:figshare-osce
management	PROCEDURE	1b	1b:figshare-osce
scab	PROCEDURE	1b	1b:figshare-osce
nickel	PROCEDURE	1b	1b:figshare-osce
abdominal surgery	PROCEDURE	1b	1b:figshare-osce
classes	PROCEDURE	1b	1b:figshare-osce
normal vaginal delivery	PROCEDURE	1b	1b:figshare-osce
apgar	PROCEDURE	1b	1b:figshare-osce
take temperature	PROCEDURE	1b	1b:figshare-osce
teeth	PROCEDURE	1b	1b:figshare-osce
contacts	PROCEDURE	1b	1b:figshare-osce
bridge	PROCEDURE	1b	1b:figshare-osce
day surgery	PROCEDURE	1b	1b:figshare-osce
antinuclear antibodies	PROCEDURE	1b	1b:figshare-osce
x ray	PROCEDURE	1b	1b:figshare-osce
cbc	PROCEDURE	1b	1b:figshare-osce
physiotherapy	PROCEDURE	1b	1b:figshare-osce
palpation	PROCEDURE	1b	1b:figshare-osce
range of motion	PROCEDURE	1b	1b:figshare-osce
compression	PROCEDURE	1b	1b:figshare-osce
forearm	PROCEDURE	1b	1b:figshare-osce
section	PROCEDURE	1b	1b:figshare-osce
referral for physical therapy	PROCEDURE	1b	1b:figshare-osce
stretching	PROCEDURE	1b	1b:figshare-osce
culture	PROCEDURE	1b	1b:figshare-osce
folding	PROCEDURE	1b	1b:figshare-osce
mri	PROCEDURE	1b	1b:figshare-osce
ultrasound	PROCEDURE	1b	1b:figshare-osce
physical therapy exercises	PROCEDURE	1b	1b:figshare-osce
motion of knee	PROCEDURE	1b	1b:figshare-osce
reflexes	PROCEDURE	1b	1b:figshare-osce
xray	PROCEDURE	1b	1b:figshare-osce
diagnostic studies	PROCEDURE	1b	1b:figshare-osce
mobilization	PROCEDURE	1b	1b:figshare-osce
ultrasound of left shoulder	PROCEDURE	1b	1b:figshare-osce
evaluate	PROCEDURE	1b	1b:figshare-osce
tonsils	PROCEDURE	1b	1b:figshare-osce
fist	PROCEDURE	1b	1b:figshare-osce
conservative treatments	PROCEDURE	1b	1b:figshare-osce
urinalysis	PROCEDURE	1b	1b:figshare-osce
a1c	PROCEDURE	1b	1b:figshare-osce
steroid injection	PROCEDURE	1b	1b:figshare-osce
knee injection	PROCEDURE	1b	1b:figshare-osce
pas reaction	PROCEDURE	1b	1b:figshare-osce
exam	PROCEDURE	1b	1b:figshare-osce
orthopedics	PROCEDURE	1b	1b:figshare-osce
tap	PROCEDURE	1b	1b:figshare-osce
referral to physical therapy	PROCEDURE	1b	1b:figshare-osce
x rays	PROCEDURE	1b	1b:figshare-osce
rehab	PROCEDURE	1b	1b:figshare-osce
inspection	PROCEDURE	1b	1b:figshare-osce
joint replacement	PROCEDURE	1b	1b:figshare-osce
surgical treatments	PROCEDURE	1b	1b:figshare-osce
pain management	PROCEDURE	1b	1b:figshare-osce
rice method	PROCEDURE	1b	1b:figshare-osce
arthroscopy	PROCEDURE	1b	1b:figshare-osce
spects	PROCEDURE	1b	1b:figshare-osce
referral to rheumatologist	PROCEDURE	1b	1b:figshare-osce
rheumatoid factor test	PROCEDURE	1b	1b:figshare-osce
typing	PROCEDURE	1b	1b:figshare-osce
tips	PROCEDURE	1b	1b:figshare-osce
care days	PROCEDURE	1b	1b:figshare-osce
surgical interventions	PROCEDURE	1b	1b:figshare-osce
admission	PROCEDURE	1b	1b:figshare-osce
immobilization of arm	PROCEDURE	1b	1b:figshare-osce
range of motion exercises	PROCEDURE	1b	1b:figshare-osce
teller	PROCEDURE	1b	1b:figshare-osce
5 minutes	PROCEDURE	1b	1b:figshare-osce
partial hip replacement	PROCEDURE	1b	1b:figshare-osce
total hip replacement	PROCEDURE	1b	1b:figshare-osce
consult	PROCEDURE	1b	1b:figshare-osce
history taking	PROCEDURE	1b	1b:figshare-osce
referral to physiotherapy	PROCEDURE	1b	1b:figshare-osce
orthopedic surgery	PROCEDURE	1b	1b:figshare-osce
assistances	PROCEDURE	1b	1b:figshare-osce
brace	PROCEDURE	1b	1b:figshare-osce
mouse	PROCEDURE	1b	1b:figshare-osce
radiation	PROCEDURE	1b	1b:figshare-osce
vibration	PROCEDURE	1b	1b:figshare-osce
construction	PROCEDURE	1b	1b:figshare-osce
surgical management	PROCEDURE	1b	1b:figshare-osce
ultrasound therapy	PROCEDURE	1b	1b:figshare-osce
ober test	PROCEDURE	1b	1b:figshare-osce
taping	PROCEDURE	1b	1b:figshare-osce
fixation	PROCEDURE	1b	1b:figshare-osce
bk back check	PROCEDURE	1b	1b:figshare-osce
aspiration of joint	PROCEDURE	1b	1b:figshare-osce
lithotripsy	PROCEDURE	1b	1b:figshare-osce
surgically	PROCEDURE	1b	1b:figshare-osce
joint aspiration	PROCEDURE	1b	1b:figshare-osce
band count	PROCEDURE	1b	1b:figshare-osce
shoulder x rays	PROCEDURE	1b	1b:figshare-osce
breast	PROCEDURE	1b	1b:figshare-osce
vital signs	PROCEDURE	1b	1b:figshare-osce
monitoring	PROCEDURE	1b	1b:figshare-osce
hospitalizations	PROCEDURE	1b	1b:figshare-osce
monospot test	PROCEDURE	1b	1b:figshare-osce
chest ct	PROCEDURE	1b	1b:figshare-osce
chest x ray	PROCEDURE	1b	1b:figshare-osce
coagulations	PROCEDURE	1b	1b:figshare-osce
chest xray	PROCEDURE	1b	1b:figshare-osce
soaked	PROCEDURE	1b	1b:figshare-osce
diagnostic	PROCEDURE	1b	1b:figshare-osce
pneumonia vaccination	PROCEDURE	1b	1b:figshare-osce
home remedies	PROCEDURE	1b	1b:figshare-osce
pet	PROCEDURE	1b	1b:figshare-osce
pcr	PROCEDURE	1b	1b:figshare-osce
lumbar puncture	PROCEDURE	1b	1b:figshare-osce
self quarantine	PROCEDURE	1b	1b:figshare-osce
sliding scale	PROCEDURE	1b	1b:figshare-osce
public health	PROCEDURE	1b	1b:figshare-osce
troponin	PROCEDURE	1b	1b:figshare-osce
regimen	PROCEDURE	1b	1b:figshare-osce
notify	PROCEDURE	1b	1b:figshare-osce
iron levels	PROCEDURE	1b	1b:figshare-osce
swab	PROCEDURE	1b	1b:figshare-osce
quarantine	PROCEDURE	1b	1b:figshare-osce
titrate	PROCEDURE	1b	1b:figshare-osce
nasal swab test	PROCEDURE	1b	1b:figshare-osce
take bite	PROCEDURE	1b	1b:figshare-osce
infection control	PROCEDURE	1b	1b:figshare-osce
ldl	PROCEDURE	1b	1b:figshare-osce
tsh	PROCEDURE	1b	1b:figshare-osce
scrapes	PROCEDURE	1b	1b:figshare-osce
tuberculosis test	PROCEDURE	1b	1b:figshare-osce
rehospitalization	PROCEDURE	1b	1b:figshare-osce
retraction	PROCEDURE	1b	1b:figshare-osce
checkup	PROCEDURE	1b	1b:figshare-osce
bird	PROCEDURE	1b	1b:figshare-osce
sputum culture	PROCEDURE	1b	1b:figshare-osce
temp	PROCEDURE	1b	1b:figshare-osce
herbal supplements	PROCEDURE	1b	1b:figshare-osce
oxygen saturation	PROCEDURE	1b	1b:figshare-osce
therapies	PROCEDURE	1b	1b:figshare-osce
aid	PROCEDURE	1b	1b:figshare-osce
isolation	PROCEDURE	1b	1b:figshare-osce
virtual	PROCEDURE	1b	1b:figshare-osce
chest x rays	PROCEDURE	1b	1b:figshare-osce
bacon	PROCEDURE	1b	1b:figshare-osce
p health	PROCEDURE	1b	1b:figshare-osce
copa	PROCEDURE	1b	1b:figshare-osce
overlapping	PROCEDURE	1b	1b:figshare-osce
colonoscopy	PROCEDURE	1b	1b:figshare-osce
nicotine	PROCEDURE	1b	1b:figshare-osce
vape	PROCEDURE	1b	1b:figshare-osce
differential diagnoses	PROCEDURE	1b	1b:figshare-osce
cholesterol levels	PROCEDURE	1b	1b:figshare-osce
blood glucose	PROCEDURE	1b	1b:figshare-osce
lifestyle change	PROCEDURE	1b	1b:figshare-osce
hernia repair	PROCEDURE	1b	1b:figshare-osce
immunohistochemistry	PROCEDURE	1b	1b:figshare-osce
inguinal hernia repair	PROCEDURE	1b	1b:figshare-osce
long term care	PROCEDURE	1b	1b:figshare-osce
enlarged	PROCEDURE	1b	1b:figshare-osce
temperature measurements	PROCEDURE	1b	1b:figshare-osce
antibody testing	PROCEDURE	1b	1b:figshare-osce
cataract surgery	PROCEDURE	1b	1b:figshare-osce
nursing	PROCEDURE	1b	1b:figshare-osce
grind	PROCEDURE	1b	1b:figshare-osce
cytology	PROCEDURE	1b	1b:figshare-osce
bypass surgery	PROCEDURE	1b	1b:figshare-osce
knee replacement	PROCEDURE	1b	1b:figshare-osce
other therapies	PROCEDURE	1b	1b:figshare-osce
dark room	PROCEDURE	1b	1b:figshare-osce
crown	PROCEDURE	1b	1b:figshare-osce
treadmill	PROCEDURE	1b	1b:figshare-osce
pft	PROCEDURE	1b	1b:figshare-osce
voice rest	PROCEDURE	1b	1b:figshare-osce
challenges	PROCEDURE	1b	1b:figshare-osce
gargle	PROCEDURE	1b	1b:figshare-osce
admission to hospital	PROCEDURE	1b	1b:figshare-osce
echo	PROCEDURE	1b	1b:figshare-osce
antibiotic therapy	PROCEDURE	1b	1b:figshare-osce
smears	PROCEDURE	1b	1b:figshare-osce
screenings	PROCEDURE	1b	1b:figshare-osce
placed	PROCEDURE	1b	1b:figshare-osce
imaging studies	PROCEDURE	1b	1b:figshare-osce
knee surgery	PROCEDURE	1b	1b:figshare-osce
veins	PROCEDURE	1b	1b:figshare-osce
c sections	PROCEDURE	1b	1b:figshare-osce
use walker	PROCEDURE	1b	1b:figshare-osce
ave	PROCEDURE	1b	1b:figshare-osce
physical examinations	PROCEDURE	1b	1b:figshare-osce
egfr	PROCEDURE	1b	1b:figshare-osce
change medication	PROCEDURE	1b	1b:figshare-osce
physical exams	PROCEDURE	1b	1b:figshare-osce
lab tests	PROCEDURE	1b	1b:figshare-osce
prescribing	PROCEDURE	1b	1b:figshare-osce
financial	PROCEDURE	1b	1b:figshare-osce
appendectomy	PROCEDURE	1b	1b:figshare-osce
cholecystectomy	PROCEDURE	1b	1b:figshare-osce
manage symptoms	PROCEDURE	1b	1b:figshare-osce
testing testing	PROCEDURE	1b	1b:figshare-osce
ventilation	PROCEDURE	1b	1b:figshare-osce
admissions	PROCEDURE	1b	1b:figshare-osce
diet controlled	PROCEDURE	1b	1b:figshare-osce
diagnosing	PROCEDURE	1b	1b:figshare-osce
biopsies	PROCEDURE	1b	1b:figshare-osce
gold	PROCEDURE	1b	1b:figshare-osce
supportive care	PROCEDURE	1b	1b:figshare-osce
horse	PROCEDURE	1b	1b:figshare-osce
gallbladder removal	PROCEDURE	1b	1b:figshare-osce
bathing	PROCEDURE	1b	1b:figshare-osce
fontanelles	PROCEDURE	1b	1b:figshare-osce
vaccination	PROCEDURE	1b	1b:figshare-osce
ct scan	PROCEDURE	1b	1b:figshare-osce
mobilize	PROCEDURE	1b	1b:figshare-osce
act	PROCEDURE	1b	1b:figshare-osce
discussions	PROCEDURE	1b	1b:figshare-osce
left alone	PROCEDURE	1b	1b:figshare-osce
formula	PROCEDURE	1b	1b:figshare-osce
visits	PROCEDURE	1b	1b:figshare-osce
bathe	PROCEDURE	1b	1b:figshare-osce
rounds	PROCEDURE	1b	1b:figshare-osce
scans	PROCEDURE	1b	1b:figshare-osce
steam bath	PROCEDURE	1b	1b:figshare-osce
fom	PROCEDURE	1b	1b:figshare-osce
online mbsr	PROCEDURE	1b	1b:figshare-osce
thrombolysis	PROCEDURE	1b	1b:figshare-osce
home care	PROCEDURE	1b	1b:figshare-osce
saline	PROCEDURE	1b	1b:figshare-osce
assist	PROCEDURE	1b	1b:figshare-osce
take tylenol and rest	PROCEDURE	1b	1b:figshare-osce
care managed	PROCEDURE	1b	1b:figshare-osce
services	PROCEDURE	1b	1b:figshare-osce
breathing test	PROCEDURE	1b	1b:figshare-osce
stress test	PROCEDURE	1b	1b:figshare-osce
prognosis	PROCEDURE	1b	1b:figshare-osce
arteries	PROCEDURE	1b	1b:figshare-osce
antigen test	PROCEDURE	1b	1b:figshare-osce
lung imaging	PROCEDURE	1b	1b:figshare-osce
steroid treatment	PROCEDURE	1b	1b:figshare-osce
auto	PROCEDURE	1b	1b:figshare-osce
tug	PROCEDURE	1b	1b:figshare-osce
take blood pressure	PROCEDURE	1b	1b:figshare-osce
abg	PROCEDURE	1b	1b:figshare-osce
gargling	PROCEDURE	1b	1b:figshare-osce
raw	PROCEDURE	1b	1b:figshare-osce
allergy shots	PROCEDURE	1b	1b:figshare-osce
antenatal care	PROCEDURE	1b	1b:figshare-osce
ultrasounds	PROCEDURE	1b	1b:figshare-osce
serology	PROCEDURE	1b	1b:figshare-osce
map	PROCEDURE	1b	1b:figshare-osce
monkey	PROCEDURE	1c	1c:nazmulkazi
cognitive behavioral therapy	PROCEDURE	1c	1c:nazmulkazi
dialectical behavioral therapy	PROCEDURE	1c	1c:nazmulkazi
dialectical behavior therapy	PROCEDURE	1c	1c:nazmulkazi
foster care	PROCEDURE	1c	1c:nazmulkazi
bandaged	PROCEDURE	1c	1c:nazmulkazi
dock	PROCEDURE	1c	1c:nazmulkazi
wash your hands	PROCEDURE	1c	1c:nazmulkazi
mimic	PROCEDURE	1c	1c:nazmulkazi
emergency services	PROCEDURE	1c	1c:nazmulkazi
applications	PROCEDURE	1c	1c:nazmulkazi
serotonin	PROCEDURE	1c	1c:nazmulkazi
chemistry	PROCEDURE	1c	1c:nazmulkazi
releases	PROCEDURE	1c	1c:nazmulkazi
schedule	PROCEDURE	1c	1c:nazmulkazi
placebo	PROCEDURE	1c	1c:nazmulkazi
packed	PROCEDURE	1c	1c:nazmulkazi
shot	PROCEDURE	1c	1c:nazmulkazi
exposure therapy	PROCEDURE	1c	1c:nazmulkazi
other therapy	PROCEDURE	1c	1c:nazmulkazi
counseling	PROCEDURE	1c	1c:nazmulkazi
ace	PROCEDURE	1c	1c:nazmulkazi
registered	PROCEDURE	1c	1c:nazmulkazi
creation	PROCEDURE	1c	1c:nazmulkazi
brushing	PROCEDURE	1c	1c:nazmulkazi
magnets	PROCEDURE	1c	1c:nazmulkazi
payment	PROCEDURE	1c	1c:nazmulkazi
cars	PROCEDURE	1c	1c:nazmulkazi
afc	PROCEDURE	1c	1c:nazmulkazi
couples counseling	PROCEDURE	1c	1c:nazmulkazi
impulse	PROCEDURE	1c	1c:nazmulkazi
chad	PROCEDURE	1c	1c:nazmulkazi
handover	PROCEDURE	1c	1c:nazmulkazi
upper gi series	PROCEDURE	1c	1c:nazmulkazi
acupuncture	PROCEDURE	1c	1c:nazmulkazi
endoscopy	PROCEDURE	1c	1c:nazmulkazi
evaluated	PROCEDURE	1c	1c:nazmulkazi
crush	PROCEDURE	1c	1c:nazmulkazi
chips	PROCEDURE	1c	1c:nazmulkazi
yoga	PROCEDURE	1c	1c:nazmulkazi
lace	PROCEDURE	1c	1c:nazmulkazi
hot water bottle	PROCEDURE	1c	1c:nazmulkazi
destruction	PROCEDURE	1c	1c:nazmulkazi
distraction	PROCEDURE	1c	1c:nazmulkazi
imipramine	PROCEDURE	1c	1c:nazmulkazi
healthcare	PROCEDURE	1c	1c:nazmulkazi
strapping	PROCEDURE	1c	1c:nazmulkazi
supervision	PROCEDURE	1c	1c:nazmulkazi
commendation	PROCEDURE	1c	1c:nazmulkazi
admitting	PROCEDURE	1c	1c:nazmulkazi
cochlear implants	PROCEDURE	1c	1c:nazmulkazi
cochlear implant	PROCEDURE	1c	1c:nazmulkazi
discipline	PROCEDURE	1c	1c:nazmulkazi
objective	PROCEDURE	1c	1c:nazmulkazi
anchor	PROCEDURE	1c	1c:nazmulkazi
repositioned	PROCEDURE	1c	1c:nazmulkazi
playing role	PROCEDURE	1c	1c:nazmulkazi
health insurance	PROCEDURE	1c	1c:nazmulkazi
couples therapy	PROCEDURE	1c	1c:nazmulkazi
play role	PROCEDURE	1c	1c:nazmulkazi
manipulative	PROCEDURE	1c	1c:nazmulkazi
evaluation	PROCEDURE	1c	1c:nazmulkazi
withdrawal	PROCEDURE	1c	1c:nazmulkazi
flag	PROCEDURE	1c	1c:nazmulkazi
seed	PROCEDURE	1c	1c:nazmulkazi
ther color	PROCEDURE	1c	1c:nazmulkazi
pierced	PROCEDURE	1c	1c:nazmulkazi
bact count	PROCEDURE	1c	1c:nazmulkazi
brushing teeth	PROCEDURE	1c	1c:nazmulkazi
demanding	PROCEDURE	1c	1c:nazmulkazi
wrapping	PROCEDURE	1c	1c:nazmulkazi
individual therapy	PROCEDURE	1c	1c:nazmulkazi
anchoring	PROCEDURE	1c	1c:nazmulkazi
referral to a personal trainer	PROCEDURE	1c	1c:nazmulkazi
expression	PROCEDURE	1c	1c:nazmulkazi
civ	PROCEDURE	1c	1c:nazmulkazi
bat	PROCEDURE	1c	1c:nazmulkazi
i and d	PROCEDURE	1c	1c:nazmulkazi
proactive	PROCEDURE	1c	1c:nazmulkazi
shunted	PROCEDURE	1c	1c:nazmulkazi
answer questions	PROCEDURE	1c	1c:nazmulkazi
abortion	PROCEDURE	1c	1c:nazmulkazi
harvest	PROCEDURE	1c	1c:nazmulkazi
breathing exercise	PROCEDURE	1c	1c:nazmulkazi
restorative	PROCEDURE	1c	1c:nazmulkazi
encounter	PROCEDURE	1c	1c:nazmulkazi
prescription refill	PROCEDURE	1c	1c:nazmulkazi
replacement	PROCEDURE	1c	1c:nazmulkazi
home visiting	PROCEDURE	1c	1c:nazmulkazi
attachment	PROCEDURE	1c	1c:nazmulkazi
transfer	PROCEDURE	1c	1c:nazmulkazi
dbt	PROCEDURE	1c	1c:nazmulkazi
revise	PROCEDURE	1c	1c:nazmulkazi
setting objectives	PROCEDURE	1c	1c:nazmulkazi
shoulder surgery	PROCEDURE	1c	1c:nazmulkazi
determination	PROCEDURE	1c	1c:nazmulkazi
reminding	PROCEDURE	1c	1c:nazmulkazi
attitude	PROCEDURE	1c	1c:nazmulkazi
demand	PROCEDURE	1c	1c:nazmulkazi
bun	PROCEDURE	1c	1c:nazmulkazi
patient navigation	PROCEDURE	1c	1c:nazmulkazi
patient advocacy	PROCEDURE	1c	1c:nazmulkazi
reinforcement	PROCEDURE	1c	1c:nazmulkazi
journaling	PROCEDURE	1c	1c:nazmulkazi
pellet	PROCEDURE	1c	1c:nazmulkazi
gift	PROCEDURE	1c	1c:nazmulkazi
tuna	PROCEDURE	1c	1c:nazmulkazi
keto	PROCEDURE	1c	1c:nazmulkazi
short stay	PROCEDURE	1c	1c:nazmulkazi
refer to hospital	PROCEDURE	1c	1c:nazmulkazi
anger management	PROCEDURE	1c	1c:nazmulkazi
reintroduction	PROCEDURE	1c	1c:nazmulkazi
reprimanding	PROCEDURE	1c	1c:nazmulkazi
caretaking	PROCEDURE	1c	1c:nazmulkazi
cam	PROCEDURE	1c	1c:nazmulkazi
mic	PROCEDURE	1c	1c:nazmulkazi
5 minute	PROCEDURE	1c	1c:nazmulkazi
breathing exercises	PROCEDURE	1c	1c:nazmulkazi
behavioral therapy	PROCEDURE	1c	1c:nazmulkazi
medication change	PROCEDURE	1c	1c:nazmulkazi
relaxation exercise	PROCEDURE	1c	1c:nazmulkazi
fever workup	PROCEDURE	1c	1c:nazmulkazi
revision	PROCEDURE	1c	1c:nazmulkazi
contrasting	PROCEDURE	1c	1c:nazmulkazi
care hospital	PROCEDURE	1c	1c:nazmulkazi
individual counseling	PROCEDURE	1c	1c:nazmulkazi
narrative therapy	PROCEDURE	1c	1c:nazmulkazi
complement	PROCEDURE	1c	1c:nazmulkazi
weekend visit	PROCEDURE	1c	1c:nazmulkazi
tat	PROCEDURE	1c	1c:nazmulkazi
answered question	PROCEDURE	1c	1c:nazmulkazi
volatile	PROCEDURE	1c	1c:nazmulkazi
weighted	PROCEDURE	1c	1c:nazmulkazi
chemistry test	PROCEDURE	1c	1c:nazmulkazi
evaluations	PROCEDURE	1c	1c:nazmulkazi
manipulate	PROCEDURE	1c	1c:nazmulkazi
immersion	PROCEDURE	1c	1c:nazmulkazi
spinal fusion	PROCEDURE	1c	1c:nazmulkazi
scanning	PROCEDURE	1c	1c:nazmulkazi
anchored	PROCEDURE	1c	1c:nazmulkazi
camp	PROCEDURE	1c	1c:nazmulkazi
tuck	PROCEDURE	1c	1c:nazmulkazi
clamping	PROCEDURE	1c	1c:nazmulkazi
melt	PROCEDURE	1c	1c:nazmulkazi
intrusion	PROCEDURE	1c	1c:nazmulkazi
thrive	PROCEDURE	1c	1c:nazmulkazi
lithium	PROCEDURE	1c	1c:nazmulkazi
extraction	PROCEDURE	1c	1c:nazmulkazi
hot tub	PROCEDURE	1c	1c:nazmulkazi
humor	PROCEDURE	1c	1c:nazmulkazi
soak	PROCEDURE	1c	1c:nazmulkazi
mental health care	PROCEDURE	1c	1c:nazmulkazi
placement	PROCEDURE	1c	1c:nazmulkazi
probing	PROCEDURE	1c	1c:nazmulkazi
marriage counseling	PROCEDURE	1c	1c:nazmulkazi
analysis	PROCEDURE	1c	1c:nazmulkazi
reposition	PROCEDURE	1c	1c:nazmulkazi
repeat surg	PROCEDURE	1c	1c:nazmulkazi
shortening	PROCEDURE	1c	1c:nazmulkazi
pond	PROCEDURE	1c	1c:nazmulkazi
pig	PROCEDURE	1c	1c:nazmulkazi
mri post mortem	PROCEDURE	1c	1c:nazmulkazi
dsr	PROCEDURE	1e_eka	1e:eka
administering	PROCEDURE	1e_eka	1e:eka
complete blood count	PROCEDURE	1e_eka	1e:eka
lab test	PROCEDURE	1e_eka	1e:eka
advices	PROCEDURE	1e_eka	1e:eka
