dataset	fid	seconds
figshare-osce	RES0009	768.31
figshare-osce	RES0010	596.14
figshare-osce	RES0011	905.70
figshare-osce	RES0012	1052.61
figshare-osce	RES0013	676.51
figshare-osce	RES0014	696.14
figshare-osce	RES0015	807.56
figshare-osce	RES0016	685.08
figshare-osce	RES0017	880.75
figshare-osce	RES0018	623.08
figshare-osce	RES0019	785.29
figshare-osce	RES0020	831.83
figshare-osce	RES0021	736.78
figshare-osce	RES0022	1020.53
figshare-osce	RES0023	545.01
figshare-osce	RES0024	562.83
figshare-osce	RES0025	721.79
figshare-osce	RES0026	870.79
figshare-osce	RES0027	777.88
figshare-osce	RES0028	569.37
figshare-osce	RES0029	404.08
figshare-osce	RES0030	598.54
figshare-osce	RES0031	616.91
figshare-osce	RES0032	581.35
figshare-osce	RES0033	707.46
figshare-osce	RES0034	850.21
figshare-osce	RES0035	499.70
figshare-osce	RES0036	751.57
figshare-osce	RES0037	774.05
figshare-osce	RES0038	749.82
figshare-osce	RES0039	849.08
figshare-osce	RES0042	685.24
figshare-osce	RES0043	749.94
figshare-osce	RES0044	898.22
figshare-osce	RES0045	659.83
figshare-osce	RES0046	859.43
figshare-osce	RES0047	928.54
figshare-osce	RES0048	905.37
figshare-osce	RES0049	766.47
figshare-osce	RES0050	628.47
figshare-osce	RES0051	596.48
figshare-osce	RES0052	588.70
figshare-osce	RES0053	921.53
figshare-osce	RES0054	1051.04
figshare-osce	RES0055	761.88
figshare-osce	RES0056	656.58
figshare-osce	RES0057	743.09
figshare-osce	RES0058	853.67
figshare-osce	RES0059	767.66
figshare-osce	RES0060	947.28
figshare-osce	RES0061	963.99
figshare-osce	RES0062	1069.03
figshare-osce	RES0063	740.03
figshare-osce	RES0064	551.96
figshare-osce	RES0065	613.00
figshare-osce	RES0066	651.43
figshare-osce	RES0067	448.73
figshare-osce	RES0068	664.97
figshare-osce	RES0069	586.02
figshare-osce	RES0070	574.06
figshare-osce	RES0071	741.02
figshare-osce	RES0072	681.22
figshare-osce	RES0073	711.92
figshare-osce	RES0074	716.09
figshare-osce	RES0075	595.65
figshare-osce	RES0076	770.41
figshare-osce	RES0077	843.27
figshare-osce	RES0078	712.91
figshare-osce	RES0079	510.00
figshare-osce	RES0080	679.64
figshare-osce	RES0081	781.92
figshare-osce	RES0082	501.25
figshare-osce	RES0083	591.75
figshare-osce	RES0084	869.07
figshare-osce	RES0085	523.07
figshare-osce	RES0086	786.56
figshare-osce	RES0087	675.65
figshare-osce	RES0088	740.18
figshare-osce	RES0089	981.85
figshare-osce	RES0090	603.93
figshare-osce	RES0091	420.69
figshare-osce	RES0092	435.96
figshare-osce	RES0093	876.14
figshare-osce	RES0094	430.77
figshare-osce	RES0095	754.38
figshare-osce	RES0096	699.52
figshare-osce	RES0097	736.97
figshare-osce	RES0098	680.13
figshare-osce	RES0099	745.56
figshare-osce	RES0100	838.71
figshare-osce	RES0101	693.89
figshare-osce	RES0102	995.02
figshare-osce	RES0103	546.37
figshare-osce	RES0104	767.32
figshare-osce	RES0105	773.71
figshare-osce	RES0106	608.04
figshare-osce	RES0107	779.16
figshare-osce	RES0108	462.69
figshare-osce	RES0109	442.86
figshare-osce	RES0110	839.03
figshare-osce	RES0111	527.35
figshare-osce	RES0112	450.69
figshare-osce	RES0113	522.31
figshare-osce	RES0114	788.75
figshare-osce	RES0116	711.77
figshare-osce	RES0117	464.38
figshare-osce	RES0118	477.22
figshare-osce	RES0119	649.98
figshare-osce	RES0120	674.45
figshare-osce	RES0121	471.53
figshare-osce	RES0122	506.15
figshare-osce	RES0123	742.38
figshare-osce	RES0124	828.04
figshare-osce	RES0125	711.42
figshare-osce	RES0126	851.47
figshare-osce	RES0127	661.49
figshare-osce	RES0128	568.02
figshare-osce	RES0129	548.76
figshare-osce	RES0130	653.04
figshare-osce	RES0131	636.53
figshare-osce	RES0132	707.18
figshare-osce	RES0133	665.23
figshare-osce	RES0134	860.88
figshare-osce	RES0135	684.31
figshare-osce	RES0136	694.24
figshare-osce	RES0137	640.57
figshare-osce	RES0138	600.65
figshare-osce	RES0139	575.64
figshare-osce	RES0140	454.01
figshare-osce	RES0141	505.59
figshare-osce	RES0142	428.75
figshare-osce	RES0143	571.07
figshare-osce	RES0144	575.34
figshare-osce	RES0145	711.39
figshare-osce	RES0146	508.33
figshare-osce	RES0147	711.29
figshare-osce	RES0148	669.10
figshare-osce	RES0149	684.76
figshare-osce	RES0150	675.88
figshare-osce	RES0151	650.44
figshare-osce	RES0152	595.03
figshare-osce	RES0153	610.48
figshare-osce	RES0154	557.83
figshare-osce	RES0155	772.00
figshare-osce	RES0156	548.08
figshare-osce	RES0158	528.48
figshare-osce	RES0159	603.17
figshare-osce	RES0160	613.56
figshare-osce	RES0161	501.01
figshare-osce	RES0162	615.83
figshare-osce	RES0163	618.03
figshare-osce	RES0164	662.01
figshare-osce	RES0165	501.93
figshare-osce	RES0166	606.45
figshare-osce	RES0167	608.59
figshare-osce	RES0168	653.07
figshare-osce	RES0169	507.00
figshare-osce	RES0170	667.56
figshare-osce	RES0171	704.37
figshare-osce	RES0172	568.80
figshare-osce	RES0173	646.07
figshare-osce	RES0174	830.92
figshare-osce	RES0175	513.04
figshare-osce	RES0176	724.17
figshare-osce	RES0177	642.17
figshare-osce	RES0178	605.11
figshare-osce	RES0179	704.34
figshare-osce	RES0180	577.26
figshare-osce	RES0181	658.16
figshare-osce	RES0182	566.23
figshare-osce	RES0183	710.41
figshare-osce	RES0184	554.20
figshare-osce	RES0185	574.64
figshare-osce	RES0186	532.97
figshare-osce	RES0187	699.40
figshare-osce	RES0188	500.27
figshare-osce	RES0189	751.73
figshare-osce	RES0190	681.16
figshare-osce	RES0191	533.59
figshare-osce	RES0192	730.11
figshare-osce	RES0193	697.39
figshare-osce	RES0194	667.59
figshare-osce	RES0195	662.08
figshare-osce	RES0196	458.57
figshare-osce	RES0197	493.72
figshare-osce	RES0198	441.66
figshare-osce	RES0199	586.30
figshare-osce	RES0200	679.36
figshare-osce	RES0201	595.21
figshare-osce	RES0202	756.76
figshare-osce	RES0203	477.04
figshare-osce	RES0204	463.63
figshare-osce	RES0205	489.04
figshare-osce	RES0206	692.38
figshare-osce	RES0207	434.35
figshare-osce	RES0208	656.33
figshare-osce	RES0209	562.52
figshare-osce	RES0210	486.32
figshare-osce	RES0211	608.09
figshare-osce	RES0212	524.82
figshare-osce	RES0213	558.33
figshare-osce	RES0214	537.18
figshare-osce	RES0215	625.37
figshare-osce	RES0216	627.65
figshare-osce	RES0217	513.84
primock57	day1_consultation01	457.92
primock57	day1_consultation02	559.20
primock57	day1_consultation03	544.32
primock57	day1_consultation04	615.48
primock57	day1_consultation05	577.02
primock57	day1_consultation06	662.52
primock57	day1_consultation07	858.24
primock57	day1_consultation08	466.20
primock57	day1_consultation09	536.82
primock57	day1_consultation10	620.34
primock57	day1_consultation11	803.28
primock57	day1_consultation12	471.96
primock57	day1_consultation13	624.36
primock57	day1_consultation14	604.68
primock57	day1_consultation15	491.82
primock57	day2_consultation01	329.16
primock57	day2_consultation02	541.56
primock57	day2_consultation03	450.84
primock57	day2_consultation04	578.10
primock57	day2_consultation05	636.30
primock57	day2_consultation06	598.26
primock57	day2_consultation07	457.44
primock57	day2_consultation08	633.90
primock57	day2_consultation09	432.24
primock57	day2_consultation10	579.42
primock57	day3_consultation01	510.06
primock57	day3_consultation02	443.64
primock57	day3_consultation03	696.30
primock57	day3_consultation04	433.02
primock57	day3_consultation05	413.58
primock57	day3_consultation06	228.60
primock57	day3_consultation07	457.80
primock57	day3_consultation08	344.46
primock57	day3_consultation09	712.44
primock57	day3_consultation10	560.28
primock57	day4_consultation01	513.48
primock57	day4_consultation02	504.06
primock57	day4_consultation03	382.32
primock57	day4_consultation04	393.30
primock57	day4_consultation05	582.12
primock57	day4_consultation06	606.12
primock57	day4_consultation07	626.70
primock57	day4_consultation08	721.20
primock57	day4_consultation09	628.50
primock57	day4_consultation10	744.84
primock57	day5_consultation01	453.90
primock57	day5_consultation02	445.62
primock57	day5_consultation03	776.34
primock57	day5_consultation04	543.60
primock57	day5_consultation05	409.08
primock57	day5_consultation06	614.64
primock57	day5_consultation07	489.24
primock57	day5_consultation08	563.34
primock57	day5_consultation09	579.00
primock57	day5_consultation10	586.08
primock57	day5_consultation11	665.70
primock57	day5_consultation12	325.56
nazmulkazi	D0420-S1-T01	996.20
nazmulkazi	D0420-S1-T02	166.37
nazmulkazi	D0420-S1-T03	317.82
nazmulkazi	D0420-S1-T04	515.75
nazmulkazi	D0420-S1-T05	743.74
nazmulkazi	D0420-S2-T01	2261.74
nazmulkazi	D0420-S3-T01	709.76
nazmulkazi	D0420-S3-T02	1976.44
nazmulkazi	D0420-S3-T03	1549.75
nazmulkazi	D0420-S4-T01	938.47
nazmulkazi	D0420-S4-T02	3063.73
nazmulkazi	D0421-S1-T01	1880.81
nazmulkazi	D0421-S1-T02	1570.77
nazmulkazi	D0421-S1-T03	1009.04
nazmulkazi	D0421-S1-T04	1209.51
nazmulkazi	D0421-S1-T05	1108.04
nazmulkazi	D0421-S2-T01	2454.12
nazmulkazi	D0421-S2-T02	1930.86
nazmulkazi	D0421-S3-T01	1499.55
nazmulkazi	D0421-S3-T02	1430.56
nazmulkazi	D0421-S3-T03	1759.96
nazmulkazi	D0421-S3-T04	1442.24
nazmulkazi	D0421-S3-T05	1601.60
nazmulkazi	D0422-S1-T01	1841.87
nazmulkazi	D0422-S1-T02	1433.77
nazmulkazi	D0422-S1-T03	1184.18
nazmulkazi	D0422-S1-T04	985.92
nazmulkazi	D0422-S2-T01	1639.75
nazmulkazi	D0422-S2-T02	4929.24
nazmulkazi	D0422-S3-T01	2852.85
nazmulkazi	D0422-S3-T02	1286.89
nazmulkazi	D0422-S3-T03	1678.24
nazmulkazi	D0422-S3-T04	996.91
nazmulkazi	D0422-S3-T05	730.96
nazmulkazi	D0422-S3-T06	335.74
nazmulkazi	D0422-S4-T01	2390.69
nazmulkazi	D0422-S4-T02	2155.42
nazmulkazi	D0422-S4-T03	1222.69
nazmulkazi	D0422-S4-T04	1193.49
nazmulkazi	D0422-S4-T05	1067.37
nazmulkazi	D0423-S1-T01	3456.87
nazmulkazi	D0423-S1-T02	1995.53
nazmulkazi	D0423-S1-T03	1102.37
nazmulkazi	D0423-S2-T01	1000.95
nazmulkazi	D0423-S2-T02	1065.18
nazmulkazi	D0423-S2-T03	1236.22
nazmulkazi	D0424-S1-T01	911.67
nazmulkazi	D0424-S1-T02	1068.46
nazmulkazi	D0424-S1-T03	1087.66
nazmulkazi	D0424-S2-T01	2508.45
nazmulkazi	D0424-S2-T02	2574.25
nazmulkazi	D0424-S2-T03	2640.45
nazmulkazi	D0424-S2-T04	2105.73
nazmulkazi	D0424-S2-T05	2261.16
nazmulkazi	D0424-S2-T06	1833.94
nazmulkazi	D0424-S3-T01	2860.32
nazmulkazi	D0424-S3-T02	1545.98
nazmulkazi	D0424-S3-T03	713.08
nazmulkazi	D0424-S3-T04	489.32
nazmulkazi	D0425-S1-T01	513.01
nazmulkazi	D0425-S1-T02	981.75
nazmulkazi	D0425-S1-T03	874.77
nazmulkazi	D0425-S2-T01	2359.02
nazmulkazi	D0425-S2-T02	1334.70
nazmulkazi	D0425-S2-T03	1247.35
nazmulkazi	D0425-S2-T04	1152.65
nazmulkazi	D0425-S3-T01	1289.89
nazmulkazi	D0425-S3-T02	1176.88
nazmulkazi	D0425-S3-T03	930.06
nazmulkazi	D0425-S3-T04	835.67
nazmulkazi	D0425-S3-T05	605.54
