kind	model_or_pair	fid	words_fixed	words_buggy	fixed_err	buggy_err
solo	parakeet-tdt-0.6b-v2	RES0027	1366	1323	246	322
solo	parakeet-tdt-0.6b-v2	RES0017	1751	1698	217	301
solo	parakeet-tdt-0.6b-v2	RES0029	811	787	164	188
solo	parakeet-tdt-0.6b-v2	RES0028	1156	1130	280	301
solo	parakeet-tdt-0.6b-v2	RES0030	1184	1158	117	155
solo	parakeet-tdt-0.6b-v2	RES0025	1393	1342	163	248
solo	parakeet-tdt-0.6b-v2	RES0032	1212	1169	276	331
solo	parakeet-tdt-0.6b-v2	RES0022	1999	1927	317	431
solo	parakeet-tdt-0.6b-v2	RES0026	1544	1504	160	226
solo	parakeet-tdt-0.6b-v2	RES0035	958	944	95	118
solo	parakeet-tdt-0.6b-v2	RES0031	1343	1297	174	242
solo	parakeet-tdt-0.6b-v2	RES0033	1372	1306	343	426
solo	parakeet-tdt-0.6b-v2	RES0036	1423	1368	175	255
solo	parakeet-tdt-0.6b-v2	RES0043	1503	1451	249	323
solo	parakeet-tdt-0.6b-v2	RES0038	1554	1504	163	232
solo	parakeet-tdt-0.6b-v2	RES0037	1453	1413	235	294
solo	parakeet-tdt-0.6b-v2	RES0042	1264	1222	344	389
solo	parakeet-tdt-0.6b-v2	RES0034	1685	1627	147	244
solo	parakeet-tdt-0.6b-v2	RES0039	1672	1635	192	259
solo	parakeet-tdt-0.6b-v2	RES0045	1204	1158	226	277
solo	parakeet-tdt-0.6b-v2	RES0046	1588	1532	192	284
solo	parakeet-tdt-0.6b-v2	RES0050	1109	1084	100	144
solo	parakeet-tdt-0.6b-v2	RES0044	1859	1776	320	424
solo	parakeet-tdt-0.6b-v2	RES0052	828	809	245	272
solo	parakeet-tdt-0.6b-v2	RES0051	997	970	127	173
solo	parakeet-tdt-0.6b-v2	RES0047	1628	1575	327	397
solo	parakeet-tdt-0.6b-v2	RES0057	1245	1194	222	309
solo	parakeet-tdt-0.6b-v2	RES0055	1375	1328	286	371
solo	parakeet-tdt-0.6b-v2	RES0056	1174	1140	311	349
solo	parakeet-tdt-0.6b-v2	RES0048	1809	1726	326	458
solo	parakeet-tdt-0.6b-v2	RES0049	1622	1555	256	351
solo	parakeet-tdt-0.6b-v2	RES0058	1514	1462	231	323
solo	parakeet-tdt-0.6b-v2	RES0053	1982	1906	493	610
solo	parakeet-tdt-0.6b-v2	RES0064	1078	1046	259	305
solo	parakeet-tdt-0.6b-v2	RES0059	1358	1327	258	304
solo	parakeet-tdt-0.6b-v2	RES0063	1439	1384	205	292
solo	parakeet-tdt-0.6b-v2	RES0067	946	912	312	344
solo	parakeet-tdt-0.6b-v2	RES0061	1783	1701	258	394
solo	parakeet-tdt-0.6b-v2	RES0066	1192	1160	273	322
solo	parakeet-tdt-0.6b-v2	RES0060	1683	1616	445	548
solo	parakeet-tdt-0.6b-v2	RES0065	1089	1064	131	177
solo	parakeet-tdt-0.6b-v2	RES0054	2491	2446	875	943
solo	parakeet-tdt-0.6b-v2	RES0070	976	946	302	319
solo	parakeet-tdt-0.6b-v2	RES0069	1026	994	293	332
solo	parakeet-tdt-0.6b-v2	RES0062	1965	1905	261	372
solo	parakeet-tdt-0.6b-v2	RES0068	1213	1168	254	299
solo	parakeet-tdt-0.6b-v2	RES0072	1182	1150	305	354
solo	parakeet-tdt-0.6b-v2	RES0075	1112	1070	124	193
solo	parakeet-tdt-0.6b-v2	RES0079	841	815	164	206
solo	parakeet-tdt-0.6b-v2	RES0074	1246	1206	142	219
solo	parakeet-tdt-0.6b-v2	RES0071	1301	1261	152	216
solo	parakeet-tdt-0.6b-v2	RES0073	1340	1303	169	239
solo	parakeet-tdt-0.6b-v2	RES0078	1140	1092	136	217
solo	parakeet-tdt-0.6b-v2	RES0083	990	962	135	180
solo	parakeet-tdt-0.6b-v2	RES0085	959	923	198	257
solo	parakeet-tdt-0.6b-v2	RES0076	1569	1513	271	374
solo	parakeet-tdt-0.6b-v2	RES0082	932	891	145	213
solo	parakeet-tdt-0.6b-v2	RES0080	1225	1179	234	311
solo	parakeet-tdt-0.6b-v2	RES0077	1649	1585	172	289
solo	parakeet-tdt-0.6b-v2	RES0084	1562	1516	147	234
solo	parakeet-tdt-0.6b-v2	RES0081	1455	1391	231	338
solo	parakeet-tdt-0.6b-v2	RES0091	901	869	199	240
solo	parakeet-tdt-0.6b-v2	RES0092	837	800	251	289
solo	parakeet-tdt-0.6b-v2	RES0086	1523	1463	286	391
solo	parakeet-tdt-0.6b-v2	RES0087	1359	1306	275	355
solo	parakeet-tdt-0.6b-v2	RES0090	1193	1160	97	148
solo	parakeet-tdt-0.6b-v2	RES0094	793	766	213	254
solo	parakeet-tdt-0.6b-v2	RES0088	1373	1336	159	216
solo	parakeet-tdt-0.6b-v2	RES0096	1292	1251	344	393
solo	parakeet-tdt-0.6b-v2	RES0093	1606	1543	266	360
solo	parakeet-tdt-0.6b-v2	RES0095	1467	1426	268	334
solo	parakeet-tdt-0.6b-v2	RES0089	1800	1749	255	329
solo	parakeet-tdt-0.6b-v2	RES0098	1474	1422	315	390
solo	parakeet-tdt-0.6b-v2	RES0097	1381	1319	194	282
solo	parakeet-tdt-0.6b-v2	RES0103	1100	1063	264	317
solo	parakeet-tdt-0.6b-v2	RES0101	1430	1379	326	399
solo	parakeet-tdt-0.6b-v2	RES0109	845	817	235	276
solo	parakeet-tdt-0.6b-v2	RES0099	1554	1505	180	245
solo	parakeet-tdt-0.6b-v2	RES0100	1767	1710	183	277
solo	parakeet-tdt-0.6b-v2	RES0108	950	918	340	372
solo	parakeet-tdt-0.6b-v2	RES0104	1563	1511	293	364
solo	parakeet-tdt-0.6b-v2	RES0102	2025	1952	194	319
solo	parakeet-tdt-0.6b-v2	RES0111	965	927	195	258
solo	parakeet-tdt-0.6b-v2	RES0105	1738	1663	350	446
solo	parakeet-tdt-0.6b-v2	RES0106	1307	1251	155	235
solo	parakeet-tdt-0.6b-v2	RES0112	835	795	234	281
solo	parakeet-tdt-0.6b-v2	RES0110	1565	1512	170	263
solo	parakeet-tdt-0.6b-v2	RES0107	1596	1520	291	412
solo	parakeet-tdt-0.6b-v2	RES0118	947	921	71	110
solo	parakeet-tdt-0.6b-v2	RES0113	1079	1043	208	263
solo	parakeet-tdt-0.6b-v2	RES0117	951	920	329	350
solo	parakeet-tdt-0.6b-v2	RES0121	962	930	66	118
solo	parakeet-tdt-0.6b-v2	RES0120	1381	1325	234	315
solo	parakeet-tdt-0.6b-v2	RES0122	1046	1005	148	207
solo	parakeet-tdt-0.6b-v2	RES0119	1359	1302	198	301
solo	parakeet-tdt-0.6b-v2	RES0114	1673	1606	303	413
solo	parakeet-tdt-0.6b-v2	RES0116	1588	1533	189	266
solo	parakeet-tdt-0.6b-v2	RES0129	1078	1040	281	336
solo	parakeet-tdt-0.6b-v2	RES0128	1095	1062	290	343
solo	parakeet-tdt-0.6b-v2	RES0126	1858	1784	215	342
solo	parakeet-tdt-0.6b-v2	RES0127	1461	1418	252	327
solo	parakeet-tdt-0.6b-v2	RES0130	1329	1282	219	294
solo	parakeet-tdt-0.6b-v2	RES0123	1716	1647	212	310
solo	parakeet-tdt-0.6b-v2	RES0125	1638	1576	144	231
solo	parakeet-tdt-0.6b-v2	RES0124	1729	1675	141	225
solo	parakeet-tdt-0.6b-v2	RES0135	1224	1191	223	278
solo	parakeet-tdt-0.6b-v2	RES0131	1231	1176	220	300
solo	parakeet-tdt-0.6b-v2	RES0137	1274	1216	232	306
solo	parakeet-tdt-0.6b-v2	RES0133	1264	1222	245	299
solo	parakeet-tdt-0.6b-v2	RES0139	1131	1093	305	349
solo	parakeet-tdt-0.6b-v2	RES0132	1309	1276	257	303
solo	parakeet-tdt-0.6b-v2	RES0138	1148	1118	142	183
solo	parakeet-tdt-0.6b-v2	RES0136	1243	1211	290	333
solo	parakeet-tdt-0.6b-v2	RES0142	778	758	212	238
solo	parakeet-tdt-0.6b-v2	RES0143	1119	1080	314	351
solo	parakeet-tdt-0.6b-v2	RES0140	907	877	282	311
solo	parakeet-tdt-0.6b-v2	RES0141	987	949	162	210
solo	parakeet-tdt-0.6b-v2	RES0134	1679	1630	141	227
solo	parakeet-tdt-0.6b-v2	RES0146	898	870	183	222
solo	parakeet-tdt-0.6b-v2	RES0144	1153	1119	317	370
solo	parakeet-tdt-0.6b-v2	RES0145	1326	1277	162	249
solo	parakeet-tdt-0.6b-v2	RES0147	1274	1234	197	256
solo	parakeet-tdt-0.6b-v2	RES0152	1059	1028	105	164
solo	parakeet-tdt-0.6b-v2	RES0148	1136	1101	259	313
solo	parakeet-tdt-0.6b-v2	RES0149	1270	1231	271	325
solo	parakeet-tdt-0.6b-v2	RES0150	1147	1099	241	307
solo	parakeet-tdt-0.6b-v2	RES0151	1157	1125	231	280
solo	parakeet-tdt-0.6b-v2	RES0154	943	922	248	282
solo	parakeet-tdt-0.6b-v2	RES0153	1103	1063	130	201
solo	parakeet-tdt-0.6b-v2	RES0159	1104	1060	96	169
solo	parakeet-tdt-0.6b-v2	RES0161	1034	993	167	220
solo	parakeet-tdt-0.6b-v2	RES0160	1135	1093	145	200
solo	parakeet-tdt-0.6b-v2	RES0155	1439	1380	358	415
solo	parakeet-tdt-0.6b-v2	RES0156	1016	983	259	299
solo	parakeet-tdt-0.6b-v2	RES0158	1079	1034	251	306
solo	parakeet-tdt-0.6b-v2	RES0163	1200	1155	169	237
solo	parakeet-tdt-0.6b-v2	RES0165	909	881	183	237
solo	parakeet-tdt-0.6b-v2	RES0162	1235	1183	168	236
solo	parakeet-tdt-0.6b-v2	RES0169	946	906	190	252
solo	parakeet-tdt-0.6b-v2	RES0168	1329	1271	354	433
solo	parakeet-tdt-0.6b-v2	RES0166	1155	1117	171	228
solo	parakeet-tdt-0.6b-v2	RES0164	1248	1197	305	370
solo	parakeet-tdt-0.6b-v2	RES0167	1181	1132	170	245
solo	parakeet-tdt-0.6b-v2	RES0170	1351	1300	310	377
solo	parakeet-tdt-0.6b-v2	RES0172	1195	1148	333	389
solo	parakeet-tdt-0.6b-v2	RES0171	1368	1306	404	479
solo	parakeet-tdt-0.6b-v2	RES0173	1262	1210	249	342
solo	parakeet-tdt-0.6b-v2	RES0177	1193	1151	234	300
solo	parakeet-tdt-0.6b-v2	RES0175	1017	979	121	175
solo	parakeet-tdt-0.6b-v2	RES0178	1125	1082	180	232
solo	parakeet-tdt-0.6b-v2	RES0174	1549	1484	197	307
solo	parakeet-tdt-0.6b-v2	RES0180	1065	1020	335	395
solo	parakeet-tdt-0.6b-v2	RES0182	945	919	243	286
solo	parakeet-tdt-0.6b-v2	RES0176	1305	1269	155	213
solo	parakeet-tdt-0.6b-v2	RES0179	1291	1254	368	423
solo	parakeet-tdt-0.6b-v2	RES0181	1184	1154	245	285
solo	parakeet-tdt-0.6b-v2	RES0186	1069	1020	238	316
solo	parakeet-tdt-0.6b-v2	RES0188	957	932	146	193
solo	parakeet-tdt-0.6b-v2	RES0184	970	946	243	272
solo	parakeet-tdt-0.6b-v2	RES0185	1075	1026	338	386
solo	parakeet-tdt-0.6b-v2	RES0183	1217	1178	162	226
solo	parakeet-tdt-0.6b-v2	RES0187	1303	1275	363	402
solo	parakeet-tdt-0.6b-v2	RES0191	927	905	155	191
solo	parakeet-tdt-0.6b-v2	RES0198	857	833	265	294
solo	parakeet-tdt-0.6b-v2	RES0196	943	910	314	362
solo	parakeet-tdt-0.6b-v2	RES0190	1290	1263	273	315
solo	parakeet-tdt-0.6b-v2	RES0189	1439	1397	263	330
solo	parakeet-tdt-0.6b-v2	RES0194	1395	1339	330	392
solo	parakeet-tdt-0.6b-v2	RES0192	1280	1243	136	194
solo	parakeet-tdt-0.6b-v2	RES0195	1335	1297	258	313
solo	parakeet-tdt-0.6b-v2	RES0197	966	943	135	169
solo	parakeet-tdt-0.6b-v2	RES0193	1431	1382	323	387
solo	parakeet-tdt-0.6b-v2	RES0199	1152	1118	377	421
solo	parakeet-tdt-0.6b-v2	RES0203	920	895	106	147
solo	parakeet-tdt-0.6b-v2	RES0204	995	959	361	391
solo	parakeet-tdt-0.6b-v2	RES0207	818	789	237	273
solo	parakeet-tdt-0.6b-v2	RES0201	1059	1024	160	203
solo	parakeet-tdt-0.6b-v2	RES0200	1351	1316	366	418
solo	parakeet-tdt-0.6b-v2	RES0205	1049	1009	111	182
solo	parakeet-tdt-0.6b-v2	RES0202	1522	1472	280	351
solo	parakeet-tdt-0.6b-v2	RES0208	1322	1254	311	412
solo	parakeet-tdt-0.6b-v2	RES0209	1108	1062	331	392
solo	parakeet-tdt-0.6b-v2	RES0206	1354	1309	365	429
solo	parakeet-tdt-0.6b-v2	RES0210	1139	1119	135	168
solo	parakeet-tdt-0.6b-v2	RES0212	1304	1238	100	220
solo	parakeet-tdt-0.6b-v2	RES0214	1123	1093	110	156
solo	parakeet-tdt-0.6b-v2	RES0211	1415	1355	179	278
solo	whisper-distil-v3.5	CAR0002	1067	1043	106	145
solo	whisper-distil-v3.5	CAR0001	1053	1027	98	146
solo	parakeet-tdt-0.6b-v2	RES0213	1485	1383	150	293
solo	whisper-distil-v3.5	CAR0004	920	896	98	144
solo	parakeet-tdt-0.6b-v2	RES0215	1386	1329	133	225
solo	parakeet-tdt-0.6b-v2	RES0216	1604	1531	188	309
solo	parakeet-tdt-0.6b-v2	RES0217	1486	1424	222	300
solo	whisper-distil-v3.5	CAR0003	1281	1259	111	148
solo	whisper-distil-v3.5	GAS0001	1033	984	147	218
solo	whisper-distil-v3.5	GAS0003	1093	1036	133	214
solo	whisper-distil-v3.5	CAR0005	1292	1228	114	214
solo	whisper-distil-v3.5	GAS0007	903	884	107	142
solo	whisper-distil-v3.5	GAS0002	1140	1103	97	151
solo	whisper-distil-v3.5	GEN0001	1132	1093	87	158
solo	whisper-distil-v3.5	GAS0004	1180	1127	131	223
solo	whisper-distil-v3.5	DER0001	1554	1485	192	300
solo	whisper-distil-v3.5	MSK0001	983	960	117	157
solo	whisper-distil-v3.5	MSK0005	1513	1462	154	233
solo	whisper-distil-v3.5	MSK0004	1125	1096	125	166
solo	whisper-distil-v3.5	GAS0005	1599	1541	166	261
solo	whisper-distil-v3.5	MSK0008	1417	1391	168	213
solo	whisper-distil-v3.5	MSK0006	1781	1720	179	278
solo	whisper-distil-v3.5	MSK0007	1358	1333	144	185
solo	whisper-distil-v3.5	MSK0003	1866	1810	188	282
solo	whisper-distil-v3.5	MSK0010	1505	1473	127	180
solo	whisper-distil-v3.5	MSK0009	1572	1520	193	278
solo	whisper-distil-v3.5	MSK0018	976	940	80	125
solo	whisper-distil-v3.5	MSK0014	1575	1529	158	237
solo	whisper-distil-v3.5	MSK0011	1535	1501	178	236
solo	whisper-distil-v3.5	MSK0012	1652	1600	140	226
solo	whisper-distil-v3.5	MSK0013	1610	1562	149	235
solo	whisper-distil-v3.5	MSK0015	1622	1576	170	251
solo	whisper-distil-v3.5	MSK0017	1735	1681	159	257
solo	whisper-distil-v3.5	MSK0019	1337	1298	88	152
solo	whisper-distil-v3.5	MSK0023	1229	1181	118	191
solo	whisper-distil-v3.5	MSK0024	1193	1162	97	155
solo	whisper-distil-v3.5	MSK0021	1745	1691	226	323
solo	whisper-distil-v3.5	MSK0020	1683	1636	173	257
solo	whisper-distil-v3.5	MSK0016	2064	1999	197	305
solo	whisper-distil-v3.5	MSK0027	1377	1331	155	234
solo	whisper-distil-v3.5	MSK0025	1580	1511	123	243
solo	whisper-distil-v3.5	MSK0026	1365	1338	141	182
solo	whisper-distil-v3.5	MSK0032	1198	1154	81	144
solo	whisper-distil-v3.5	MSK0022	2164	2091	206	344
solo	whisper-distil-v3.5	MSK0031	1299	1247	126	215
solo	whisper-distil-v3.5	MSK0033	1687	1621	166	285
solo	whisper-distil-v3.5	MSK0028	1836	1785	179	274
solo	whisper-distil-v3.5	MSK0029	2268	2186	244	376
solo	whisper-distil-v3.5	MSK0034	1448	1417	157	213
solo	whisper-distil-v3.5	MSK0035	1596	1549	170	246
solo	whisper-distil-v3.5	MSK0040	1488	1446	147	222
solo	whisper-distil-v3.5	MSK0039	1404	1367	126	186
solo	whisper-distil-v3.5	MSK0036	1757	1714	161	239
solo	whisper-distil-v3.5	MSK0037	1682	1620	187	297
solo	whisper-distil-v3.5	MSK0044	1177	1132	107	184
solo	whisper-distil-v3.5	MSK0041	1583	1543	162	231
solo	whisper-distil-v3.5	MSK0038	1895	1828	175	292
solo	whisper-distil-v3.5	MSK0046	1225	1188	110	177
solo	whisper-distil-v3.5	MSK0043	1772	1694	160	274
solo	whisper-distil-v3.5	MSK0042	1522	1471	121	209
solo	whisper-distil-v3.5	MSK0045	1394	1354	136	207
solo	whisper-distil-v3.5	MSK0050	1285	1257	113	165
solo	whisper-distil-v3.5	MSK0049	1372	1333	141	200
solo	whisper-distil-v3.5	RES0002	1162	1144	337	367
solo	whisper-distil-v3.5	RES0010	1070	1018	134	226
solo	whisper-distil-v3.5	RES0001	1526	1469	195	290
solo	whisper-distil-v3.5	RES0008	1171	1129	121	191
solo	whisper-distil-v3.5	RES0003	1261	1213	116	201
solo	whisper-distil-v3.5	RES0006	1240	1207	125	186
solo	whisper-distil-v3.5	RES0009	1446	1372	146	280
solo	whisper-distil-v3.5	RES0005	1645	1578	148	269
solo	whisper-distil-v3.5	RES0004	1723	1650	218	353
solo	whisper-distil-v3.5	RES0007	1874	1811	183	290
solo	whisper-distil-v3.5	RES0015	1607	1551	152	245
solo	whisper-distil-v3.5	RES0014	1429	1383	147	232
solo	whisper-distil-v3.5	RES0013	1400	1325	146	276
solo	whisper-distil-v3.5	RES0016	1327	1287	122	188
solo	whisper-distil-v3.5	RES0011	1647	1573	192	307
solo	whisper-distil-v3.5	RES0018	1334	1294	143	214
solo	whisper-distil-v3.5	RES0023	1099	1054	168	237
solo	whisper-distil-v3.5	RES0019	1334	1300	134	190
solo	whisper-distil-v3.5	RES0021	1255	1226	156	197
solo	whisper-distil-v3.5	RES0024	1004	969	116	183
solo	whisper-distil-v3.5	RES0012	2168	2058	259	449
solo	whisper-distil-v3.5	RES0020	1413	1386	151	199
solo	whisper-distil-v3.5	RES0017	1751	1698	187	273
solo	whisper-distil-v3.5	RES0029	811	787	76	110
solo	whisper-distil-v3.5	RES0026	1544	1504	173	236
solo	whisper-distil-v3.5	RES0025	1393	1342	197	274
solo	whisper-distil-v3.5	RES0027	1366	1323	154	232
solo	whisper-distil-v3.5	RES0028	1156	1130	125	159
solo	whisper-distil-v3.5	RES0031	1343	1297	108	186
solo	whisper-distil-v3.5	RES0032	1212	1169	98	165
solo	whisper-distil-v3.5	RES0035	958	944	76	98
solo	whisper-distil-v3.5	RES0030	1184	1158	125	160
solo	whisper-distil-v3.5	RES0033	1372	1306	134	252
solo	whisper-distil-v3.5	RES0036	1423	1368	151	224
solo	whisper-distil-v3.5	RES0022	1999	1927	220	346
solo	whisper-distil-v3.5	RES0037	1453	1413	158	220
solo	whisper-distil-v3.5	RES0034	1685	1627	134	238
solo	whisper-distil-v3.5	RES0042	1264	1222	173	236
solo	whisper-distil-v3.5	RES0043	1503	1451	197	281
solo	whisper-distil-v3.5	RES0045	1204	1158	101	169
solo	whisper-distil-v3.5	RES0038	1554	1504	167	240
solo	whisper-distil-v3.5	RES0039	1672	1635	178	243
solo	whisper-distil-v3.5	RES0044	1859	1776	162	306
solo	whisper-distil-v3.5	RES0050	1109	1084	107	149
solo	whisper-distil-v3.5	RES0046	1588	1532	151	252
solo	whisper-distil-v3.5	RES0052	828	809	148	186
solo	whisper-distil-v3.5	RES0051	997	970	138	185
solo	whisper-distil-v3.5	RES0047	1628	1575	190	277
solo	whisper-distil-v3.5	RES0048	1809	1726	165	311
solo	whisper-distil-v3.5	RES0055	1375	1328	240	332
solo	whisper-distil-v3.5	RES0057	1245	1194	218	311
solo	whisper-distil-v3.5	RES0058	1514	1462	241	328
solo	whisper-distil-v3.5	RES0056	1174	1140	180	240
solo	whisper-distil-v3.5	RES0053	1982	1906	368	499
solo	whisper-distil-v3.5	RES0049	1622	1555	180	292
solo	whisper-distil-v3.5	RES0059	1358	1327	184	236
solo	whisper-distil-v3.5	RES0065	1089	1064	146	195
solo	whisper-distil-v3.5	RES0063	1439	1384	175	281
solo	whisper-distil-v3.5	RES0060	1683	1616	264	381
solo	whisper-distil-v3.5	RES0067	946	912	129	182
solo	whisper-distil-v3.5	RES0066	1192	1160	145	206
solo	whisper-distil-v3.5	RES0064	1078	1046	121	180
solo	whisper-distil-v3.5	RES0061	1783	1701	222	370
solo	whisper-distil-v3.5	RES0068	1213	1168	157	224
solo	whisper-distil-v3.5	RES0054	2491	2446	756	820
solo	whisper-distil-v3.5	RES0070	976	946	141	200
solo	whisper-distil-v3.5	RES0062	1965	1905	271	381
solo	whisper-distil-v3.5	RES0069	1026	994	127	181
solo	whisper-distil-v3.5	RES0071	1301	1261	162	233
solo	whisper-distil-v3.5	RES0075	1112	1070	130	207
solo	whisper-distil-v3.5	RES0079	841	815	132	183
solo	whisper-distil-v3.5	RES0072	1182	1150	177	237
solo	whisper-distil-v3.5	RES0074	1246	1206	139	219
solo	whisper-distil-v3.5	RES0073	1340	1303	156	226
solo	whisper-distil-v3.5	RES0078	1140	1092	147	241
solo	whisper-distil-v3.5	RES0083	990	962	126	178
solo	whisper-distil-v3.5	RES0076	1569	1513	180	288
solo	whisper-distil-v3.5	RES0077	1649	1585	201	321
solo	whisper-distil-v3.5	RES0080	1225	1179	165	251
solo	whisper-distil-v3.5	RES0085	959	923	112	175
solo	whisper-distil-v3.5	RES0082	932	891	122	202
solo	whisper-distil-v3.5	RES0081	1455	1391	169	291
solo	whisper-distil-v3.5	RES0091	901	869	64	122
solo	whisper-distil-v3.5	RES0094	793	766	83	136
solo	whisper-distil-v3.5	RES0090	1193	1160	95	149
solo	whisper-distil-v3.5	RES0084	1562	1516	157	244
solo	whisper-distil-v3.5	RES0087	1359	1306	145	242
solo	whisper-distil-v3.5	RES0088	1373	1336	159	218
