dataset	file_id	ref_words	parakeet_words	tokens	has_digit	has_spelled	mixed	n_digit_tokens	n_spelled_tokens	chunk_len	win_medasr	win_medasr-int8	win_nemotron	win_paraformer-en	win_zipformer-zh-en	win_sensevoice	win_sensevoice-no-itn	win_whisper-distil-v3.5	win_whisper-base-en	win_cloud-google	win_cloud-azure	win_cloud-deepgram	win_cloud-assemblyai
primock57	day1_consultation07	four		four	0	1	0	0	1	1	?	?	1	1	1	1	1	1	1	1	?	1	?
primock57	day1_consultation07	nine		nine	0	1	0	0	1	1	?	?	?	?	1	?	?	1	?	1	?	1	?
primock57	day1_consultation07	twenty	24	twenty	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation07	four		four	0	1	0	0	1	1	0	0	?	0	0	?	0	?	?	?	?	0	?
primock57	day1_consultation07	forty	48	forty	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation07	eight		eight	0	1	0	0	1	1	?	?	?	?	?	?	?	?	?	?	?	0	?
primock57	day1_consultation07	twenty	24	twenty	0	1	0	0	1	1	?	?	0	0	0	0	0	?	0	0	0	0	0
primock57	day1_consultation07	four		four	0	1	0	0	1	1	?	?	?	0	0	?	0	?	?	?	?	0	?
primock57	day1_consultation07	forty	48	forty	0	1	0	0	1	1	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation07	eight		eight	0	1	0	0	1	1	?	?	0	?	?	?	?	?	?	?	?	0	?
primock57	day1_consultation08	twenty six twenty	26 26 okay	twenty six twenty	0	1	0	0	3	3	?	?	0	0	0	?	0	0	0	?	0	0	0
primock57	day1_consultation08	six ok		six	0	1	0	0	1	2	?	?	?	0	?	?	?	?	0	?	0	?	?
primock57	day1_consultation09	nineteen	19	nineteen	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day1_consultation09	three weeks ago ok		three	0	1	0	0	1	4	?	1	?	0	0	?	?	0	0	0	0	0	?
primock57	day1_consultation09	three	three-day	three	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0
primock57	day1_consultation10	nineteen	19	nineteen	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day1_consultation10	nineteen	19	nineteen	0	1	0	0	1	1	?	?	?	1	0	0	1	0	0	1	0	0	0
primock57	day1_consultation10	clindamycin mycin ok ok ok then i	clindusin that looked like half years ago	<none>	0	0	0	0	0	7	?	?	?	1	1	1	1	1	1	1	1	1	1
primock57	day1_consultation10	three	three-day	three	0	1	0	0	1	1	0	0	?	1	1	1	1	1	1	1	1	0	0
primock57	day1_consultation11	seven twenty seven	27 27 okay	seven twenty seven	0	1	0	0	3	3	?	?	0	1	1	?	0	0	0	0	0	0	0
primock57	day1_consultation11	twenty seven ok		twenty seven	0	1	0	0	2	3	?	?	?	1	0	?	?	0	?	0	0	0	?
primock57	day1_consultation11	ten	10	ten	0	1	0	0	1	1	?	?	?	1	1	?	?	?	?	0	?	?	0
primock57	day1_consultation11	is it ten		ten	0	1	0	0	1	3	?	?	?	1	1	0	0	0	0	0	0	0	?
primock57	day1_consultation11	ten	10	ten	0	1	0	0	1	1	?	?	?	1	1	?	?	0	?	0	0	0	0
primock57	day1_consultation11	solid six ok	okay all right	six	0	1	0	0	1	3	?	?	0	1	0	1	1	0	1	1	0	0	0
primock57	day1_consultation11	forty	48	forty	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day1_consultation11	eight		eight	0	1	0	0	1	1	?	?	?	?	?	?	?	?	?	0	?	0	?
primock57	day1_consultation12	forty eight	48 okay	forty eight	0	1	0	0	2	2	?	?	?	1	1	0	1	0	0	0	0	0	0
primock57	day1_consultation12	ten	10	ten	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
primock57	day1_consultation12	twenty	24	twenty	0	1	0	0	1	1	?	?	?	1	0	0	0	0	0	0	0	0	0
primock57	day1_consultation12	four		four	0	1	0	0	1	1	?	?	?	0	0	0	?	0	?	?	?	0	?
primock57	day1_consultation12	forty	48	forty	0	1	0	0	1	1	?	?	?	1	0	?	?	?	0	0	0	0	0
primock57	day1_consultation12	eight		eight	0	1	0	0	1	1	?	?	?	?	?	?	?	?	?	?	?	0	?
primock57	day1_consultation13	twenty	26	twenty	0	1	0	0	1	1	?	?	0	0	0	?	?	0	0	0	0	0	0
primock57	day1_consultation13	six		six	0	1	0	0	1	1	?	?	?	0	0	?	?	0	?	0	?	0	0
primock57	day1_consultation13	eight	okay	eight	0	1	0	0	1	1	0	?	?	1	?	?	?	0	0	1	?	0	0
primock57	day1_consultation13	five	years	five	0	1	0	0	1	1	?	?	?	1	?	?	?	?	0	1	1	1	0
primock57	day1_consultation13	too	two	<none>	0	0	0	0	0	1	?	?	1	0	1	1	1	1	?	1	1	1	1
primock57	day1_consultation14	fifty	50	fifty	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	1	0	0
primock57	day1_consultation14	fifty ok	50 okay	fifty	0	1	0	0	1	2	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day1_consultation14	a	100	<none>	0	0	0	0	0	1	?	?	?	0	?	0	0	0	0	0	0	1	0
primock57	day1_consultation14	hundred percent		hundred	0	1	0	0	1	2	?	?	?	1	1	?	1	?	?	?	?	0	?
primock57	day1_consultation14	ten	10	ten	0	1	0	0	1	1	?	?	1	1	1	?	1	0	1	?	0	0	0
primock57	day1_consultation15	forty five	45 45	forty five	0	1	0	0	2	2	?	?	?	1	1	?	0	0	0	0	0	0	0
primock57	day1_consultation15	forty five		forty five	0	1	0	0	2	2	?	?	?	1	?	?	0	0	0	0	0	?	0
primock57	day1_consultation15	two	2	two	0	1	0	0	1	1	?	1	0	1	1	0	1	0	0	0	0	0	0
primock57	day1_consultation15	two	2	two	0	1	0	0	1	1	?	?	?	1	0	?	1	0	?	0	0	0	?
primock57	day1_consultation15	uh	e45	<none>	0	0	0	0	0	1	?	?	1	1	?	?	?	0	0	1	?	?	0
primock57	day1_consultation15	e forty five		forty five	0	1	0	0	2	3	?	?	0	0	?	0	?	?	?	0	0	1	?
primock57	day1_consultation15	uh	10	<none>	0	0	0	0	0	1	?	0	1	?	1	0	?	0	0	1	0	?	0
primock57	day1_consultation15	ten		ten	0	1	0	0	1	1	?	?	0	0	0	?	?	?	?	0	?	0	?
primock57	day1_consultation15	fourteen	14	fourteen	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation01	uh thirty	31st of	thirty	0	1	0	0	1	2	?	?	0	0	0	?	0	0	0	0	0	0	0
primock57	day2_consultation01	first		first	0	1	0	0	1	1	?	?	?	0	0	?	0	?	?	?	?	0	?
primock57	day2_consultation01	nineteen	1990	nineteen	0	1	0	0	1	1	?	?	0	0	0	0	0	0	0	?	0	?	0
primock57	day2_consultation01	ninety		ninety	0	1	0	0	1	1	?	?	?	0	0	?	0	?	?	?	?	?	?
primock57	day2_consultation01	six	six-week	six	0	1	0	0	1	1	?	?	1	1	1	1	1	1	1	1	1	1	0
primock57	day2_consultation01	one of us over	and also have a	one	0	1	0	0	1	4	?	?	0	0	0	1	1	1	0	1	0	0	0
primock57	day2_consultation02	fifth	5th	fifth	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation02	uh nineteen	1973 okay	nineteen	0	1	0	0	1	2	?	?	0	1	1	?	0	0	0	?	0	0	0
primock57	day2_consultation02	seventy three ok		seventy three	0	1	0	0	2	3	?	?	?	0	0	?	0	?	?	?	0	?	?
primock57	day2_consultation02	uh sorry	double check	<none>	0	0	0	0	0	2	?	?	1	0	1	0	?	1	1	?	1	1	?
primock57	day2_consultation02	uh fifty three	53 53 okay	fifty three	0	1	0	0	2	3	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation02	fifty three ok		fifty three	0	1	0	0	2	3	?	?	?	1	0	?	1	?	?	0	0	?	?
primock57	day2_consultation02	four	400	four	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation02	hundred		hundred	0	1	0	0	1	1	?	?	?	0	0	0	0	?	?	0	?	0	0
primock57	day2_consultation02	two	three	two	0	1	0	0	1	1	?	?	1	1	1	1	0	1	1	?	1	0	?
primock57	day2_consultation03	forty	40	forty	0	1	0	0	1	1	?	?	0	0	?	?	1	0	0	?	0	0	0
primock57	day2_consultation03	you're	40	<none>	0	0	0	0	0	1	?	?	0	1	?	?	?	0	1	0	1	1	0
primock57	day2_consultation03	forty		forty	0	1	0	0	1	1	?	?	?	0	?	?	?	?	0	?	0	0	?
primock57	day2_consultation04	god i'm forty five		forty five	0	1	0	0	2	4	?	?	?	?	?	?	?	0	0	?	?	0	?
primock57	day2_consultation04	ok uh and	45 45 okay	<none>	0	0	0	0	0	3	?	?	?	0	0	0	0	0	0	1	0	0	0
primock57	day2_consultation04	uh	15	<none>	0	0	0	0	0	1	?	?	0	?	1	?	?	0	0	1	0	0	0
primock57	day2_consultation04	fifteen		fifteen	0	1	0	0	1	1	?	?	?	1	1	?	1	?	?	0	0	?	?
primock57	day2_consultation04	um w	w65 okay	<none>	0	0	0	0	0	2	?	?	0	0	1	1	0	0	0	0	0	1	0
primock57	day2_consultation04	six five that's great ok		six five	0	1	0	0	2	5	?	?	?	1	0	0	1	0	?	0	0	0	0
primock57	day2_consultation04	two	your	two	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation04	eleven	11	eleven	0	1	0	0	1	1	?	?	0	1	0	0	0	0	0	0	0	0	0
primock57	day2_consultation04	twelve	12	twelve	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation04	sixty	66	sixty	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation04	six		six	0	1	0	0	1	1	0	0	?	0	0	?	0	?	?	?	?	?	?
primock57	day2_consultation04	seventy four	70 fold	seventy four	0	1	0	0	2	2	?	?	0	1	0	0	0	0	0	0	0	0	0
primock57	day2_consultation04	forty five forty	45 45 okay	forty five forty	0	1	0	0	3	3	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation04	five ok		five	0	1	0	0	1	2	?	?	?	0	0	?	0	?	?	?	0	?	?
primock57	day2_consultation05	thirty	32	thirty	0	1	0	0	1	1	?	?	?	?	?	?	0	0	?	?	0	0	0
primock57	day2_consultation05	two		two	0	1	0	0	1	1	?	?	?	1	1	1	0	?	?	?	?	?	?
primock57	day2_consultation05	thirty	32	thirty	0	1	0	0	1	1	?	?	?	?	0	0	0	0	0	?	0	0	0
primock57	day2_consultation05	two		two	0	1	0	0	1	1	?	?	?	0	0	?	0	?	?	1	?	?	?
primock57	day2_consultation05	thirty	32	thirty	0	1	0	0	1	1	?	?	?	0	0	0	0	0	?	0	0	0	0
primock57	day2_consultation05	two		two	0	1	0	0	1	1	?	?	?	0	0	?	0	?	?	1	?	?	?
primock57	day2_consultation05	ab one	ab1 cb2	one	0	1	0	0	1	2	?	?	0	1	1	?	0	0	0	0	0	0	0
primock57	day2_consultation05	cb two		two	0	1	0	0	1	2	?	?	?	1	1	?	0	?	?	?	?	0	?
primock57	day2_consultation05	few	three	<none>	0	0	0	0	0	1	?	?	?	0	1	0	0	0	0	1	1	1	0
primock57	day2_consultation05	seventy	75	seventy	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation05	five		five	0	1	0	0	1	1	0	0	0	0	0	0	0	?	?	0	?	0	?
primock57	day2_consultation05	when they	one day	<none>	0	0	0	0	0	2	?	?	0	0	0	0	0	0	0	1	0	0	1
primock57	day2_consultation06	i am	i'm 27	<none>	0	0	0	0	0	2	?	?	0	1	1	0	1	0	0	1	0	0	0
primock57	day2_consultation06	twenty seven		twenty seven	0	1	0	0	2	2	?	?	0	0	1	?	1	?	?	0	?	?	?
primock57	day2_consultation06	nineteen ninety	1991 17th	nineteen ninety	0	1	0	0	2	2	?	?	?	0	0	0	0	0	0	0	0	?	0
primock57	day2_consultation06	one um seventeenth		one	0	1	0	0	1	3	?	?	?	0	0	?	0	?	?	0	0	?	?
primock57	day2_consultation06	um	two	<none>	0	0	0	0	0	1	?	?	?	?	1	?	?	0	0	1	?	0	?
primock57	day2_consultation06	one of	okay okay	one	0	1	0	0	1	2	?	?	?	1	0	0	0	0	0	1	0	0	0
primock57	day2_consultation06	the two ok		two	0	1	0	0	1	3	?	?	?	1	0	0	0	?	?	0	0	?	0
primock57	day2_consultation07	nineteen	1958	nineteen	0	1	0	0	1	1	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation07	fifty eight uh		fifty eight	0	1	0	0	2	3	?	?	?	0	0	?	0	?	?	0	?	?	?
primock57	day2_consultation07	eighth	8th	eighth	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	?	0	0	0
primock57	day2_consultation07	fifty	50	fifty	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation07	fifty	51	fifty	0	1	0	0	1	1	?	?	0	0	0	0	0	0	?	0	0	0	0
primock57	day2_consultation07	one fifty one		one fifty one	0	1	0	0	3	3	?	?	?	1	1	0	1	0	?	0	?	1	?
primock57	day2_consultation07	sixty	60	sixty	0	1	0	0	1	1	?	?	?	1	1	0	1	0	0	0	1	0	0
primock57	day2_consultation07	six	okay	six	0	1	0	0	1	1	?	?	?	0	0	?	?	0	?	0	0	0	0
primock57	day2_consultation07	ten	10	ten	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation07	fifteen	15	fifteen	0	1	0	0	1	1	?	?	?	1	1	0	1	0	0	0	0	1	0
primock57	day2_consultation07	fifteen	15	fifteen	0	1	0	0	1	1	?	?	0	1	1	0	1	0	?	1	0	1	0
primock57	day2_consultation07	sixty	60	sixty	0	1	0	0	1	1	?	?	0	0	0	?	?	?	?	0	0	0	0
primock57	day2_consultation07	sixty	60	sixty	0	1	0	0	1	1	?	?	?	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation07	around sixty yes	okay all right	sixty	0	1	0	0	1	3	?	?	?	1	1	0	1	0	0	0	0	0	0
primock57	day2_consultation07	double	double-check	double	0	1	0	0	1	1	?	?	1	1	1	1	1	1	1	1	1	1	0
primock57	day2_consultation08	second	2nd	second	0	1	0	0	1	1	?	?	?	1	1	1	1	0	0	1	0	?	0
primock57	day2_consultation08	um	1992	<none>	0	0	0	0	0	1	?	?	0	?	1	?	?	0	0	0	0	0	0
primock57	day2_consultation08	nineteen ninety two		nineteen ninety two	0	1	0	0	3	3	?	?	?	1	1	?	1	?	?	0	?	0	?
primock57	day2_consultation08	double check		double	0	1	0	0	1	2	?	?	?	?	?	?	?	1	0	1	0	1	0
primock57	day2_consultation08	in	68	<none>	0	0	0	0	0	1	?	?	?	?	1	?	?	0	0	?	0	0	0
primock57	day2_consultation08	his sixties um sixty eight		sixty eight	0	1	0	0	2	5	?	?	?	1	1	?	1	?	0	0	?	?	?
primock57	day2_consultation09	twelve	12	twelve	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation09	nineteen	1958	nineteen	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	?	0
primock57	day2_consultation09	fifty eight		fifty eight	0	1	0	0	2	2	?	?	?	0	0	?	0	0	0	0	?	?	?
primock57	day2_consultation09	two	2	two	0	1	0	0	1	1	1	1	?	1	0	?	1	0	1	0	0	1	0
primock57	day2_consultation10	sixteenth	16th	<none>	0	0	0	0	0	1	?	?	0	0	0	0	0	0	0	1	0	0	0
primock57	day2_consultation10	nineteen eighty two	1982 that's great	nineteen eighty two	0	1	0	0	3	3	?	?	0	1	1	?	1	0	0	0	0	0	0
primock57	day2_consultation10	five thirty	5 30ish	five thirty	0	1	0	0	2	2	?	?	?	1	1	?	1	0	0	0	0	0	0
primock57	day2_consultation10	seven	7	seven	0	1	0	0	1	1	?	?	0	1	1	0	1	1	1	0	0	0	0
primock57	day2_consultation10	um one	1 5	one	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
primock57	day2_consultation10	point five		five	0	1	0	0	1	2	?	?	?	0	0	?	0	?	?	0	?	?	?
primock57	day2_consultation10	two	2	two	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0
primock57	day3_consultation01	first	1st	first	0	1	0	0	1	1	?	?	?	1	1	?	?	0	1	1	0	0	0
primock57	day3_consultation01	ninety-nine ok	99 okay	<none>	0	0	0	0	0	2	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation01	six oh you all		six	0	1	0	0	1	4	?	?	?	0	?	?	?	?	?	0	?	?	?
primock57	day3_consultation01	nine nine		nine nine	0	1	0	0	2	2	?	?	?	1	1	?	1	?	?	0	?	?	?
primock57	day3_consultation02	uhh	2112	<none>	0	0	0	0	0	1	?	?	?	0	0	0	?	0	0	0	0	0	0
primock57	day3_consultation02	twenty-one twelve		twelve	0	1	0	0	1	2	?	?	?	0	0	?	?	0	0	0	0	0	0
primock57	day3_consultation02	nineteen	1986	nineteen	0	1	0	0	1	1	?	?	?	1	0	0	0	0	0	0	0	1	?
primock57	day3_consultation02	um	nw36pq	<none>	0	0	0	0	0	1	?	?	0	1	1	?	0	0	0	1	0	0	0
primock57	day3_consultation02	nw three six pq		three six	0	1	0	0	2	4	?	?	0	1	1	0	0	?	0	0	0	0	0
primock57	day3_consultation02	first	us	first	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	0	1
primock57	day3_consultation03	i'm thirty five years old	30 percent that's going to	thirty five	0	1	0	0	2	5	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation03	yeah two twenty nine uh		two twenty nine	0	1	0	0	3	5	?	?	?	0	0	?	0	0	0	0	0	0	?
primock57	day3_consultation03	oh three	old 300	three	0	1	0	0	1	2	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation03	hundred		hundred	0	1	0	0	1	1	?	?	?	0	0	?	0	?	?	0	?	?	?
primock57	day3_consultation04	fourteenth november nineteen ninety six	the 14th of june 1996	nineteen ninety six	0	1	0	0	3	5	?	?	?	0	1	?	?	0	0	0	0	0	0
primock57	day3_consultation04	twenty eight	28 cricks	twenty eight	0	1	0	0	2	2	?	?	?	1	0	0	0	0	0	0	0	0	0
primock57	day3_consultation04	sw	s7191ez	<none>	0	0	0	0	0	1	?	?	0	1	?	?	?	0	0	0	1	1	0
primock57	day3_consultation04	nineteen one ez		nineteen one	0	1	0	0	2	3	?	?	?	1	1	?	?	?	0	0	0	0	0
primock57	day3_consultation04	to three		three	0	1	0	0	1	2	?	?	?	1	0	1	1	0	0	0	0	?	?
primock57	day3_consultation04	um	380	<none>	0	0	0	0	0	1	?	?	1	?	1	0	?	0	0	1	0	?	0
primock57	day3_consultation04	three eighty		three eighty	0	1	0	0	2	2	?	?	0	0	1	?	?	0	?	0	?	1	?
primock57	day3_consultation04	three ok yeah		three	0	1	0	0	1	3	?	?	?	?	1	?	?	0	?	1	0	0	?
primock57	day3_consultation04	four		four	0	1	0	0	1	1	1	1	0	0	0	?	?	?	?	0	0	0	?
primock57	day3_consultation04	three	two	three	0	1	0	0	1	1	0	0	?	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation05	date of	1980 okay	<none>	0	0	0	0	0	2	?	?	1	?	1	1	1	0	?	0	1	1	1
primock57	day3_consultation05	birth um nineteen eighty ok		nineteen eighty	0	1	0	0	2	5	?	?	?	0	0	0	0	?	?	0	0	0	0
primock57	day3_consultation05	sw	sw40ng	<none>	0	0	0	0	0	1	?	?	0	1	0	1	0	0	0	1	0	1	0
primock57	day3_consultation05	four zero ng		four zero	0	1	0	0	2	3	?	?	?	1	0	0	0	?	?	0	0	0	?
primock57	day3_consultation05	double	develop	double	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
primock57	day3_consultation05	ten days	10 days'	ten	0	1	0	0	1	2	?	?	0	1	1	0	0	0	0	0	0	0	0
primock57	day3_consultation06	uh	61280	<none>	0	0	0	0	0	1	?	?	?	0	1	?	?	0	0	1	0	0	0
primock57	day3_consultation06	six twelve uh eighty		six twelve eighty	0	1	0	0	3	4	?	?	?	0	0	?	?	?	?	0	?	0	0
primock57	day3_consultation06	uh	62	<none>	0	0	0	0	0	1	?	?	0	?	?	0	0	0	0	1	0	0	0
primock57	day3_consultation06	sixty two		sixty two	0	1	0	0	2	2	?	?	?	1	?	?	?	?	0	0	?	?	?
primock57	day3_consultation06	sw sixteen	sw166jt that's	sixteen	0	1	0	0	1	2	?	?	0	0	1	0	0	0	0	0	0	0	0
primock57	day3_consultation06	six jt		six	0	1	0	0	1	2	?	?	0	0	0	0	?	0	0	?	0	0	0
primock57	day3_consultation06	fifteen	15	fifteen	0	1	0	0	1	1	?	?	0	1	?	0	0	0	0	0	0	1	0
primock57	day3_consultation07	seventeen	17	seventeen	0	1	0	0	1	1	?	?	?	0	?	0	?	0	0	1	0	0	0
primock57	day3_consultation07	nineteen	1987	nineteen	0	1	0	0	1	1	?	?	0	0	?	0	0	0	?	0	0	?	0
primock57	day3_consultation07	eighty seven		eighty seven	0	1	0	0	2	2	?	?	?	0	?	?	?	?	?	?	?	?	?
primock57	day3_consultation07	sixty hanover	and over	sixty	0	1	0	0	1	2	?	?	0	0	?	0	0	0	0	0	0	0	0
primock57	day3_consultation08	twenty	29th	twenty	0	1	0	0	1	1	?	?	?	0	?	0	0	0	0	0	0	0	0
primock57	day3_consultation08	ninth		ninth	0	1	0	0	1	1	?	?	?	0	?	?	?	?	?	?	?	0	?
primock57	day3_consultation08	nineteen eighty	1980 okay	nineteen eighty	0	1	0	0	2	2	?	?	?	0	?	0	1	0	0	0	0	?	0
primock57	day3_consultation09	sixteen nineteen	16th 1976	sixteen nineteen	0	1	0	0	2	2	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation09	seventy six		seventy six	0	1	0	0	2	2	?	?	?	0	0	?	0	?	?	?	?	?	?
primock57	day3_consultation09	three	three-year	three	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0
primock57	day3_consultation09	twenty	20-20	twenty	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0
primock57	day3_consultation09	twenty		twenty	0	1	0	0	1	1	0	0	?	1	?	?	1	0	0	0	?	1	0
primock57	day3_consultation09	twenty	20	twenty	0	1	0	0	1	1	?	?	0	1	1	0	0	0	0	0	0	1	0
primock57	day3_consultation09	twenty	20	twenty	0	1	0	0	1	1	?	?	?	1	0	0	1	0	0	0	0	0	0
primock57	day3_consultation10	oh nine	092983 okay	nine	0	1	0	0	1	2	?	?	0	0	0	0	0	0	1	0	0	0	0
primock57	day3_consultation10	two nine eighty-three ok		two nine	0	1	0	0	2	4	?	?	0	0	0	?	0	?	0	0	0	0	0
primock57	day3_consultation10	two	231	two	0	1	0	0	1	1	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation10	three one		three one	0	1	0	0	2	2	?	?	?	0	0	0	0	?	0	0	?	?	?
primock57	day3_consultation10	uh four to		four	0	1	0	0	1	3	0	0	0	?	0	0	?	0	0	0	0	0	0
primock57	day3_consultation10	ten	10	ten	0	1	0	0	1	1	?	?	0	1	1	0	1	0	0	0	0	1	0
primock57	day3_consultation10	ten	10	ten	0	1	0	0	1	1	?	?	?	1	?	0	1	0	0	1	0	1	0
primock57	day3_consultation10	uh sixty-two	62 okay	<none>	0	0	0	0	0	2	?	?	0	0	1	0	0	0	0	0	0	0	0
primock57	day3_consultation10	forty-eight	48	<none>	0	0	0	0	0	1	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day3_consultation10	forty-eight	48	<none>	0	0	0	0	0	1	?	?	?	0	?	?	0	0	0	0	0	0	0
primock57	day4_consultation01	i'm one of		one	0	1	0	0	1	3	?	?	?	0	0	0	0	?	?	0	0	1	?
primock57	day4_consultation01	seventh	7th	seventh	0	1	0	0	1	1	?	?	0	1	0	0	?	0	0	0	0	0	0
primock57	day4_consultation01	nineteen seventy	1974 74	nineteen seventy	0	1	0	0	2	2	?	?	?	0	0	0	0	0	0	?	0	0	0
primock57	day4_consultation01	four seventy four		four seventy four	0	1	0	0	3	3	?	?	?	0	0	?	0	0	0	?	?	?	?
primock57	day4_consultation01	fifty four	54 perfect	fifty four	0	1	0	0	2	2	?	?	1	1	1	0	1	0	0	0	0	0	0
primock57	day4_consultation01	suppose i'd	supposedly 53	<none>	0	0	0	0	0	2	?	?	1	1	1	?	?	0	1	1	0	0	0
